ID,CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,BPADH,DTDEM,age_2007,anciennete_adh_ans,MTREV_discrete,cible_churn
12841,2,912,1,B,2,__MANQUANT__,10,14607,31/12/1900,,2.751540041067762,0,0
12842,3,0,3,M,0,__MANQUANT__,10,12149,31/12/1900,44.0848733744011,2.751540041067762,0,0
12843,3,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,37.503080082135526,2.751540041067762,0,0
12844,4,0,0,C,0,__MANQUANT__,25,88882,31/12/1900,36.72279260780287,2.74880219028063,0,0
12845,4,1830,0,U,2,__MANQUANT__,10,18707,31/12/1900,,2.74880219028063,1,0
12846,2,0,0,M,2,__MANQUANT__,10,18707,31/12/1900,,2.7405886379192332,0,0
12847,2,1200,1,M,2,__MANQUANT__,10,15707,31/12/1900,38.6694045174538,2.737850787132101,0,0
12848,2,2013,2,M,2,__MANQUANT__,10,14607,31/12/1900,,2.737850787132101,1,0
12849,3,0,0,M,2,__MANQUANT__,10,13907,31/12/1900,38.40657084188912,2.737850787132101,0,0
12850,3,0,0,M,2,__MANQUANT__,10,10907,31/12/1900,,2.737850787132101,0,0
12851,2,0,0,M,2,__MANQUANT__,10,17807,31/12/1900,,2.732375085557837,0,0
12852,4,2682,0,U,2,__MANQUANT__,10,18319,31/12/1900,,2.732375085557837,1,0
12853,2,0,1,U,0,__MANQUANT__,10,10107,31/12/1900,33.06228610540725,2.732375085557837,0,0
12854,2,0,0,M,2,__MANQUANT__,10,18707,31/12/1900,,2.732375085557837,0,0
12855,3,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.729637234770705,0,0
12856,2,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,72.145106091718,2.729637234770705,0,0
12857,3,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.7186858316221767,0,0
12858,3,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,43.063655030800824,2.7186858316221767,0,0
12859,3,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,60.39698836413415,2.7186858316221767,0,0
12860,3,2129,2,E,2,__MANQUANT__,10,13607,31/12/1900,,2.7186858316221767,1,0
12861,3,0,0,M,2,__MANQUANT__,10,14707,31/12/1900,35.3264887063655,2.7159479808350446,0,0
12862,3,2055,3,V,0,__MANQUANT__,10,10207,31/12/1900,44.251882272416154,2.7132101300479126,1,0
12863,2,1052,0,C,2,__MANQUANT__,10,10107,31/12/1900,34.8062970568104,2.7104722792607805,0,0
12864,3,0,1,D,2,__MANQUANT__,10,10107,31/12/1900,,2.7104722792607805,0,0
12865,2,0,2,M,2,__MANQUANT__,10,13607,31/12/1900,35.98631074606434,2.7104722792607805,0,0
12866,2,0,0,A,0,__MANQUANT__,10,18319,31/12/1900,22.075290896646134,2.7104722792607805,0,0
12867,2,1960,0,M,2,__MANQUANT__,21,88881,31/12/1900,,2.702258726899384,1,0
12868,3,0,0,M,0,__MANQUANT__,10,11307,31/12/1900,37.82067077344285,2.6995208761122518,0,0
12869,3,0,0,M,2,__MANQUANT__,10,14607,31/12/1900,,2.6995208761122518,0,0
12870,3,0,0,M,2,__MANQUANT__,10,13907,31/12/1900,37.24572210814511,2.6995208761122518,0,0
12871,2,1400,0,M,0,__MANQUANT__,21,88881,31/12/1900,54.24229979466119,2.6995208761122518,0,0
12872,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.6967830253251197,0,0
12873,2,0,0,C,2,__MANQUANT__,10,15607,31/12/1900,,2.6967830253251197,0,0
12874,3,1540,0,U,2,__MANQUANT__,10,16807,31/12/1900,,2.6967830253251197,0,0
12875,4,0,0,U,2,__MANQUANT__,10,10107,31/12/1900,25.73305954825462,2.6940451745379876,0,0
12876,4,0,0,C,2,__MANQUANT__,21,10107,31/12/1900,6.140999315537303,2.6940451745379876,0,0
12877,3,0,0,C,2,__MANQUANT__,10,10107,31/12/1900,,2.6940451745379876,0,0
12878,2,2720,2,M,0,__MANQUANT__,21,11307,31/12/1900,47.47707049965777,2.6913073237508556,1,0
12879,3,0,0,M,2,__MANQUANT__,10,11907,31/12/1900,58.327173169062284,2.6830937713894594,0,0
12880,3,0,1,M,2,__MANQUANT__,10,10207,31/12/1900,,2.6830937713894594,0,0
12881,4,0,0,C,2,__MANQUANT__,10,15707,31/12/1900,,2.6803559206023273,0,0
12882,4,0,2,U,2,__MANQUANT__,10,10107,31/12/1900,35.148528405201915,2.6776180698151952,0,0
12883,3,1640,1,B,2,__MANQUANT__,10,11307,31/12/1900,35.56194387405886,2.674880219028063,0,0
12884,3,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,56.49555099247091,2.674880219028063,0,0
12885,3,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.674880219028063,0,0
12886,3,4357,3,M,2,__MANQUANT__,10,10907,31/12/1900,,2.674880219028063,1,0
12887,2,0,0,C,2,__MANQUANT__,10,11907,31/12/1900,,2.674880219028063,0,0
12888,2,0,0,U,2,__MANQUANT__,10,12149,31/12/1900,,2.674880219028063,0,0
12889,2,0,0,M,2,__MANQUANT__,10,14707,31/12/1900,,2.674880219028063,0,0
12890,2,3700,0,M,0,__MANQUANT__,21,88881,31/12/1900,,2.674880219028063,1,0
12891,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.6721423682409307,0,0
12892,2,0,0,U,2,__MANQUANT__,10,10107,31/12/1900,27.887748117727583,2.6721423682409307,0,0
12893,4,1507,0,C,2,__MANQUANT__,10,17807,31/12/1900,28.076659822039698,2.6721423682409307,0,0
12894,3,0,0,M,2,__MANQUANT__,10,10207,31/12/1900,,2.6721423682409307,0,0
12895,2,0,0,A,0,__MANQUANT__,23,88883,31/12/1900,,2.6639288158795345,0,0
12896,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,43.4798083504449,2.6639288158795345,0,0
12897,2,0,0,M,2,__MANQUANT__,10,18707,31/12/1900,,2.6611909650924024,0,0
12898,3,827,1,U,2,__MANQUANT__,10,16807,31/12/1900,28.48186173853525,2.6611909650924024,0,0
12899,2,0,0,A,2,__MANQUANT__,10,18319,31/12/1900,,2.6611909650924024,0,0
12900,4,0,0,U,2,__MANQUANT__,10,10507,31/12/1900,,2.6611909650924024,0,0
12901,2,1580,3,M,0,__MANQUANT__,21,88881,31/12/1900,,2.6611909650924024,0,0
12902,2,1550,0,A,0,__MANQUANT__,21,88882,31/12/1900,57.07049965776865,2.6584531143052703,0,0
12903,2,0,0,A,0,__MANQUANT__,21,88882,31/12/1900,,2.6584531143052703,0,0
12904,2,2063,1,M,2,__MANQUANT__,10,14607,31/12/1900,,2.6584531143052703,1,0
12905,3,1424,0,M,2,__MANQUANT__,10,10307,31/12/1900,,2.6584531143052703,0,0
12906,4,0,0,C,2,__MANQUANT__,10,11907,31/12/1900,,2.6584531143052703,0,0
12907,3,1440,2,S,2,__MANQUANT__,10,16807,31/12/1900,47.657768651608485,2.6584531143052703,0,0
12908,2,0,0,A,0,__MANQUANT__,21,11307,31/12/1900,,2.6557152635181382,0,0
12909,3,0,0,A,0,__MANQUANT__,21,11307,31/12/1900,,2.6557152635181382,0,0
12910,3,0,0,A,0,DC,21,88882,31/12/1900,49.98220396988364,2.6557152635181382,0,0
12911,2,2581,2,B,2,__MANQUANT__,10,12149,31/12/1900,28.079397672826833,2.6557152635181382,1,0
12912,2,0,0,C,2,__MANQUANT__,10,16607,31/12/1900,39.32375085557837,2.652977412731006,0,0
12913,3,1100,2,M,2,__MANQUANT__,10,16707,31/12/1900,,2.652977412731006,0,0
12914,3,0,3,M,0,__MANQUANT__,21,11307,31/12/1900,,2.64476386036961,0,0
12915,3,0,0,A,0,__MANQUANT__,25,88882,31/12/1900,,2.64476386036961,0,0
12916,4,0,0,C,2,__MANQUANT__,10,10107,31/12/1900,36.99110198494182,2.64476386036961,0,0
12917,4,0,0,C,0,__MANQUANT__,25,88882,31/12/1900,48.153319644079396,2.642026009582478,0,0
