ID,cible_churn,z_CDSEXE,z_MTREV,z_NBENF,z_BPADH,z_age_ref,z_anciennete_adh_ans,sit_A,sit_B,sit_C,sit_D,sit_E,sit_F,sit_G,sit_M,sit_P,sit_S,sit_U,sit_V,cat_sitfam,cat_sexe,cat_nbenf,cat_mtrev,cat_age,cat_anc
90,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,1.5943899617875752,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
91,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.5846340207951715,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
92,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,1.5785017150285177,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
93,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,2.18181655258646,1.570975703405806,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
94,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.497945516548384,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
95,1,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,0.024986065562365205,1.4433122469909232,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,4
96,0,-0.9093286682807151,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,1.5867102140614704,1.4279814825742887,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4
97,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.024986065562365205,1.4012223301379814,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,4
98,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.7052304496277798,1.4031735183364622,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,4
99,1,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,0.029671733274246336,0.4443697713726063,1.3973199537410201,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
100,0,0.4690704492685181,-0.5506112457710796,-0.5109013763616733,-0.19436182396284576,1.7799191120218951,1.3680521307638087,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,4
